from,to,value,for_embedding
1053_at,200628_s_at,-2.047,2.047
1053_at,200639_s_at,-1.468,1.468
1053_at,200670_at,1.346,1.346
1053_at,200740_s_at,2.194,849.86
1053_at,200773_x_at,-1.886,1.886
1053_at,200783_s_at,-0.524,0.524
1053_at,201202_at,-0.524,0.524
1053_at,201236_s_at,1.047,1.047
1053_at,201263_at,1.794,849.86
1053_at,201292_at,-0.524,0.524
1053_at,201663_s_at,-4.267,4.267
1053_at,201664_at,3.566,3.566
1053_at,201710_at,-0.524,0.524
1053_at,201755_at,-0.524,0.524
1053_at,201770_at,1.794,849.86
1053_at,201790_s_at,-0.524,0.524
1053_at,201791_s_at,-0.524,0.524
1053_at,201795_at,-0.524,0.524
1053_at,201890_at,-0.524,0.524
1053_at,201930_at,5.004,849.86
1053_at,201970_s_at,-0.524,0.524
1053_at,201977_s_at,-1.548,1.548
1053_at,202095_s_at,-0.524,0.524
1053_at,202107_s_at,-0.524,0.524
1053_at,202174_s_at,-1.858,1.858
1053_at,202188_at,-0.524,0.524
1053_at,202233_s_at,3.92,849.86
1053_at,202240_at,-0.524,0.524
1053_at,202276_at,-0.524,0.524
1053_at,202307_s_at,1.889,1.889
1053_at,202487_s_at,-0.524,0.524
1053_at,202503_s_at,-0.524,0.524
1053_at,202589_at,-1.486,1.486
1053_at,202779_s_at,-0.524,0.524
1053_at,202815_s_at,-2.537,2.537
1053_at,202854_at,2.194,849.86
1053_at,202870_s_at,-0.524,0.524
1053_at,203022_at,-0.524,0.524
1053_at,203139_at,-0.524,0.524
1053_at,203187_at,2.319,2.319
1053_at,203188_at,-2.663,2.663
1053_at,203213_at,-0.524,0.524
1053_at,203266_s_at,-1.351,1.351
1053_at,203287_at,-0.524,0.524
1053_at,203358_s_at,-1.339,1.339
1053_at,203405_at,-1.313,1.313
1053_at,203418_at,3.92,849.86
1053_at,203422_at,-0.524,0.524
1053_at,203438_at,0.974,0.974
1053_at,203439_s_at,-1.705,1.705
1053_at,203484_at,-0.524,0.524
1053_at,203560_at,-0.524,0.524
1053_at,203625_x_at,-1.282,1.282
1053_at,203696_s_at,-0.524,0.524
200039_s_at,200079_s_at,-1.232,1.232
200039_s_at,200628_s_at,-1.2,1.2
200039_s_at,200670_at,0.733,0.733
200039_s_at,200810_s_at,0.967,0.967
200039_s_at,200822_x_at,1.349,849.86
200039_s_at,200840_at,1.747,849.86
200039_s_at,200854_at,2.329,849.86
200039_s_at,200855_at,-2.403,2.403
200039_s_at,200996_at,-3.198,3.198
200039_s_at,201088_at,1.75,849.86
