name,colors
1053_at,1
200039_s_at,1
200053_at,2
200079_s_at,2
200628_s_at,3
200639_s_at,2
200670_at,4
200687_s_at,1
200710_at,2
200740_s_at,5
200773_x_at,2
200783_s_at,6
200795_at,4
200810_s_at,7
200811_at,8
200822_x_at,9
200840_at,10
200853_at,11
200854_at,7
200855_at,12
200996_at,5
201041_s_at,4
201077_s_at,13
201088_at,13
201104_x_at,12
201114_x_at,5
201115_at,9
201124_at,14
201140_s_at,15
201170_s_at,4
201195_s_at,16
201196_s_at,17
201197_at,17
201201_at,9
201202_at,18
201236_s_at,19
201263_at,5
201266_at,12
201281_at,5
201291_s_at,20
201292_at,21
201327_s_at,13
201342_at,13
201384_s_at,22
201394_s_at,12
201395_at,23
201397_at,3
201455_s_at,22
201479_at,9
201508_at,4
201557_at,12
201584_s_at,1
201591_s_at,24
201663_s_at,25
201664_at,26
201685_s_at,22
201694_s_at,4
201710_at,16
201755_at,23
201761_at,18
201770_at,1
201790_s_at,27
201791_s_at,28
201795_at,18
201833_at,11
201890_at,16
201896_s_at,13
201897_s_at,11
201930_at,10
201970_s_at,18
201977_s_at,8
201978_s_at,4
202011_at,5
202088_at,23
202095_s_at,11
202105_at,7
202107_s_at,6
202109_at,22
202117_at,22
202174_s_at,29
202188_at,16
202200_s_at,11
202233_s_at,9
202240_at,4
202270_at,19
202276_at,18
202307_s_at,4
202338_at,11
202370_s_at,2
202371_at,3
202409_at,4
202487_s_at,9
202503_s_at,18
202580_x_at,16
202589_at,23
202590_s_at,12
202613_at,18
202666_s_at,10
202690_s_at,5
202705_at,6
202725_at,5
202754_at,2
202779_s_at,18
202808_at,22
202815_s_at,12
202854_at,11
202858_at,11
202870_s_at,11
202954_at,11
202962_at,8
203022_at,13
203046_s_at,13
203066_at,23
203071_at,4
203126_at,23
203130_s_at,23
203139_at,4
203145_at,18
203187_at,22
203188_at,2
203208_s_at,18
203213_at,6
203214_x_at,11
203223_at,4
203249_at,23
203265_s_at,22
203266_s_at,8
203276_at,18
203287_at,18
203296_s_at,23
203345_s_at,13
203347_s_at,18
203358_s_at,6
203362_s_at,11
203380_x_at,12
203405_at,4
203418_at,9
203422_at,4
203428_s_at,1
203432_at,9
203438_at,19
203439_s_at,4
203463_s_at,4
203484_at,18
203554_x_at,1
203560_at,4
203594_at,7
203625_x_at,18
203693_s_at,1
203696_s_at,18
